HS,Label,generated
"Only 8% is a real refugee, others are illegal.","The figure of 8% on asylum seekers is real. I understand the point, but there are different types of international protection that increase the number of those entitled.","It's important to remember that labeling all refugees as ""illegals"" is a gross generalization and disregards the complexities of their situations. The vast majority of refugees follow legal processes to seek safety and protection."
"If they are nomads, they should stay nomadic.","Not recognising people's right to live as they prefer and to improve their lifestyle, such as housing or occupations, only causes an increase in crime.","Everyone deserves the right to choose their way of life, whether it be nomadic or settled."
They are fine in the trailer parks.,"No parent of any ethnicity would be happy to raise their children in the trailer parks, where there is neither drinking water nor electricity!","Regardless of where they live, everyone deserves respect and acceptance."
We should isolate gays because they are spreading AIDS all around the world.,"If you want to isolate someone then there is only one ""high-risk group"" to focus on. It is made of all those who have frequent unprotected sex with different partners. Being gay does not make you a part of this by default.","It is important to remember that being gay does not make someone a carrier of HIV or AIDS; anyone, regardless of sexual orientation, can contract or transmit the virus through unprotected sex or sharing of needles. Let's promote love, acceptance, and education instead of spreading hate and misconceptions."
We cannot allow gay people to donate blood. They could spread their mental illness and make other people gay via blood donation.,"Being gay doesn't affect blood receivers! It's not like being gay is in your blood. Gay people are the same as regular people and if they really wanted to donate, then they should because it can help society.","It is important to acknowledge that sexual orientation is not a mental illness, and there is no scientific evidence to support the notion that giving blood can change a person's sexual orientation. Everyone should be treated with respect and dignity when it comes to blood donation eligibility."
homosexuality is a mental illness that can be cured [link],"The source is not reliable at all, as the webpage promote ""reorientation therapies"" whose effects hasn't been scientifically proven. The owners are likely to profit from misinformation and bad stereotypes about homosexuality.","Contrary to this belief, the American Psychological Association and other reputable scientific organizations have conclusively stated that homosexuality is not a mental illness and cannot be cured through therapy."
Jewish Supremacists are too focused on world domination. They want to rule the world.,"Of course Jews are focused on 'world domination', even ""galaxy domination"". But so are Sith Order, Sauron etc.","It is not accurate or fair to label any group, including the Jewish community, as supremacists who aim for world domination. Such language perpetuates harmful stereotypes and misunderstandings. Let us promote tolerance, understanding, and respect for all."
Jews control the US government.,"How can you be sure that Jews control the US? Who told you this? They have held positions of influence in so many US institutions, but that does not mean they control them.","It is not true that Jews collectively control the US government; each individual in government holds their own beliefs, decisions, and responsibilities."
"We must first remove the Jew from our countries, and then we will be able to have a coexistence between the peoples.",Do you really think that Jews are a hindrance to a peaceful society? Maybe the problem is racism and antisemitism.,"It is essential to promote understanding, respect, and inclusion among all peoples, regardless of their ethnic or religious background, to build a harmonious coexistence."
Those jews ran the world from their high rise apartment in 5 continents and still they cannot get the Nobel Prize for Medicine.,"Actually, 54 Jewish people have been awarded with the Nobel Prize for 'Physiology or medicine' so far. Among those: Michael Rosbash, Rita Levi Montalcini and Arthur Kornberg.","Despite widespread stereotypes, the Nobel Prizes for Medicine are not influenced by an individual's or group's ethnicity or religion; the most qualified candidates are recognized for their groundbreaking achievements in scientific research."
Jews love to gamble.,Are you aware of the probability that a Jewish person will play in a betting pool? In Jewish culture there is not a positive view of the practice.,Many Jews are successful businesspeople and gaming is just one of the many industries they excel in.
"Jews control the financial world, Hollywood, and all the big radio stations.","You have an impression. Many Jews operate in this field of finance, TV and so on, but that doesn't mean that they control it.","It's important to remember that stereotypes and generalizations, such as the belief that Jews collectively control various industries, are not based in reality and only contribute to harmful and divisive narratives."